state,action,reward,sprime,aprime
113,0,0.000000,0,113
113,0,0.000000,9,113
0,5,0.000000,5,0
0,5,0.000000,1,0
0,1,0.000000,6,104
104,6,0.000000,2,96
96,2,0.000000,7,32
32,7,0.000000,9,80
80,9,0.000000,5,17
17,5,0.000000,7,129
129,7,0.000000,7,129
129,7,0.000000,3,97
97,3,0.000000,8,129
129,8,0.000000,8,129
129,8,0.000000,2,49
49,2,0.000000,6,113
113,6,0.000000,6,113
113,6,0.000000,4,17
89,6,0.000000,6,81
81,6,0.000000,4,65
65,4,0.000000,6,81
81,6,0.000000,9,81
81,9,0.000000,9,72
72,9,0.000000,9,81
81,9,0.000000,0,80
80,0,0.000000,0,80
80,0,0.000000,5,80
80,5,0.000000,7,0
0,7,0.000000,7,0
0,7,0.000000,8,96
96,8,0.000000,7,128
128,7,0.000000,7,128
128,7,0.000000,1,112
112,1,0.000000,5,128
128,5,0.000000,5,128
128,5,0.000000,8,32
32,8,0.000000,9,96
96,9,0.000000,0,97
97,0,0.000000,0,113
113,0,0.000000,0,113
113,0,0.000000,0,1
1,0,0.000000,0,1
1,0,0.000000,3,1
1,3,0.000000,3,1
1,3,0.000000,1,1
1,1,1.000000,8,57
57,8,0.000000,1,49
49,1,0.000000,8,33
33,8,0.000000,1,113
113,1,0.000000,4,33
33,4,0.000000,2,113
113,2,0.000000,1,33
33,1,0.000000,6,65
65,6,0.000000,0,17
17,0,0.000000,6,33
33,6,0.000000,7,81
81,7,0.000000,8,1
1,8,0.000000,1,89
89,1,0.000000,9,129
129,9,0.000000,8,112
112,8,0.000000,2,32
32,2,0.000000,9,40
40,9,1.000000,3,113
113,3,0.000000,3,17
17,3,0.000000,0,25
25,0,0.000000,4,49
49,4,0.000000,4,49
49,4,0.000000,0,1
1,0,0.000000,5,65
65,5,0.000000,5,65
65,5,0.000000,2,1
1,2,0.000000,5,97
97,5,0.000000,5,97
97,5,0.000000,7,17
17,7,0.000000,7,97
97,7,0.000000,7,97
97,7,0.000000,1,129
129,1,0.000000,1,129
129,1,0.000000,1,129
129,1,1.000000,8,33
33,8,0.000000,8,33
33,8,0.000000,4,33
33,4,0.000000,7,113
113,7,0.000000,7,113
113,7,0.000000,8,65
65,8,0.000000,7,129
129,7,0.000000,7,129
129,7,0.000000,1,113
113,1,0.000000,6,129
129,6,0.000000,6,129
129,6,0.000000,3,33
33,3,0.000000,7,89
89,7,0.000000,6,81
81,6,0.000000,2,57
57,2,0.000000,4,129
129,4,0.000000,8,89
89,8,0.000000,9,17
17,9,0.000000,3,64
64,3,0.000000,7,120
120,7,0.000000,4,112
112,4,0.000000,6,48
48,6,0.000000,6,128
128,6,0.000000,4,64
64,4,0.000000,3,80
80,3,0.000000,3,80
80,3,0.000000,7,64
64,7,0.000000,5,48
48,5,0.000000,8,56
56,8,0.000000,1,128
128,1,0.000000,0,96
96,0,0.000000,7,112
112,7,0.000000,1,32
32,1,0.000000,6,0
0,6,0.000000,7,128
128,7,0.000000,0,32
32,0,0.000000,6,80
80,6,0.000000,7,136
136,7,0.000000,0,0
0,0,0.000000,4,88
88,4,0.000000,2,128
128,2,0.000000,5,0
0,5,0.000000,0,64
64,0,0.000000,4,16
16,4,0.000000,5,96
96,5,0.000000,8,0
0,8,0.000000,6,64
64,6,0.000000,1,96
96,1,0.000000,5,112
112,5,0.000000,0,80
80,0,0.000000,6,32
32,6,0.000000,6,96
96,6,0.000000,3,0
0,3,0.000000,4,80
80,4,0.000000,4,80
80,4,0.000000,7,48
48,7,0.000000,9,64
64,9,0.000000,0,65
65,0,0.000000,2,129
129,2,0.000000,2,129
129,2,0.000000,3,1
1,3,0.000000,2,17
17,2,0.000000,2,17
17,2,0.000000,5,49
49,5,0.000000,5,17
17,5,0.000000,2,25
25,2,0.000000,2,97
97,2,0.000000,2,97
17,1,0.000000,1,17
25,6,0.000000,1,33
33,1,0.000000,1,33
33,1,0.000000,3,89
89,3,0.000000,0,33
33,0,0.000000,0,33
33,0,0.000000,0,49
49,0,0.000000,7,1
1,7,0.000000,7,1
1,7,0.000000,6,1
1,6,0.000000,7,129
129,7,0.000000,7,129
129,7,0.000000,1,81
81,1,0.000000,0,129
129,0,0.000000,0,129
129,0,0.000000,8,33
33,8,0.000000,0,1
1,0,0.000000,0,1
1,0,0.000000,8,113
113,8,0.000000,4,1
1,4,0.000000,4,1
1,4,0.000000,4,113
113,4,0.000000,3,65
65,3,0.000000,3,65
65,3,1.000000,2,65
65,2,0.000000,8,49
49,8,0.000000,8,49
49,8,0.000000,2,17
17,2,0.000000,5,113
113,5,0.000000,2,121
121,2,0.000000,2,17
17,2,0.000000,4,97
97,4,0.000000,0,17
17,0,0.000000,0,17
17,0,0.000000,5,73
73,5,0.000000,5,1
1,5,0.000000,6,9
9,6,0.000000,1,97
97,1,0.000000,4,105
105,4,0.000000,5,81
81,5,0.000000,7,41
41,7,0.000000,9,73
73,9,0.000000,2,104
104,2,0.000000,6,136
136,6,0.000000,6,136
136,6,0.000000,3,16
16,3,0.000000,1,80
80,1,0.000000,1,80
80,1,0.000000,3,48
48,3,0.000000,5,40
40,5,0.000000,5,40
40,5,0.000000,0,48
48,0,0.000000,8,96
96,8,0.000000,5,96
96,5,0.000000,9,0
0,9,0.000000,7,113
113,7,0.000000,8,105
105,8,0.000000,6,97
97,6,0.000000,3,129
129,3,0.000000,8,113
113,8,0.000000,2,81
81,2,0.000000,7,49
49,7,0.000000,0,113
113,0,0.000000,3,17
17,3,0.000000,1,129
129,1,0.000000,3,1
1,3,0.000000,6,49
49,6,0.000000,2,33
33,2,0.000000,6,49
49,6,0.000000,3,81
81,3,0.000000,5,17
17,5,0.000000,5,89
89,5,0.000000,3,49
49,3,0.000000,5,97
97,5,0.000000,5,97
97,5,0.000000,3,49
49,3,0.000000,2,105
105,2,0.000000,5,97
97,5,0.000000,1,49
49,1,0.000000,8,17
17,8,0.000000,9,97
32,5,0.000000,6,112
112,6,0.000000,6,112
112,6,0.000000,1,96
96,1,0.000000,6,88
88,6,0.000000,8,80
80,8,0.000000,1,32
32,1,0.000000,7,80
80,7,0.000000,0,112
112,0,0.000000,4,32
32,4,0.000000,4,128
128,4,0.000000,0,0
0,0,0.000000,7,72
72,7,0.000000,5,64
64,5,0.000000,6,0
0,6,0.000000,3,128
128,3,0.000000,8,96
96,8,0.000000,9,88
88,9,0.000000,7,49
49,7,0.000000,2,113
113,2,0.000000,2,113
113,2,0.000000,9,129
129,9,0.000000,0,16
16,0,0.000000,0,24
24,0,0.000000,0,16
16,0,0.000000,5,0
0,5,0.000000,5,0
0,5,0.000000,4,0
0,4,0.000000,3,96
96,3,0.000000,3,96
96,3,1.000000,4,64
64,4,0.000000,7,56
56,7,0.000000,7,56
56,7,0.000000,4,64
64,4,0.000000,6,128
128,6,0.000000,4,136
136,4,0.000000,3,64
64,3,0.000000,2,80
80,2,0.000000,3,64
64,3,0.000000,8,48
48,8,0.000000,6,16
16,6,0.000000,8,48
48,8,0.000000,3,112
112,3,0.000000,0,80
80,0,0.000000,2,112
112,2,0.000000,3,48
48,3,0.000000,0,0
0,0,0.000000,5,16
16,5,0.000000,4,48
48,4,0.000000,0,8
8,0,0.000000,0,104
104,0,0.000000,0,64
64,0,0.000000,8,0
0,8,0.000000,8,0
0,8,0.000000,6,8
8,6,0.000000,3,112
112,3,0.000000,3,112
112,3,0.000000,8,80
80,8,0.000000,6,48
48,6,0.000000,6,48
48,6,0.000000,1,112
112,1,0.000000,9,80
80,9,0.000000,8,81
81,8,0.000000,6,41
41,6,0.000000,9,33
33,9,0.000000,4,112
80,6,1.000000,6,80
80,6,0.000000,8,72
80,6,0.000000,3,80
80,3,1.000000,9,112
89,9,0.000000,3,48
48,3,0.000000,9,56
16,2,0.000000,2,16
16,2,0.000000,8,16
16,8,0.000000,8,16
16,8,0.000000,9,16
113,9,0.000000,8,112
112,8,0.000000,8,112
112,6,0.000000,9,120
113,8,0.000000,0,81
81,0,0.000000,0,81
81,0,0.000000,3,113
1,7,0.000000,7,1
1,7,0.000000,6,49
49,6,0.000000,6,129
129,6,0.000000,5,137
137,5,0.000000,2,81
81,2,0.000000,2,81
81,2,0.000000,3,105
105,3,0.000000,4,25
25,4,0.000000,4,17
17,4,0.000000,9,57
57,9,0.000000,1,64
64,1,0.000000,1,64
64,1,0.000000,1,64
64,1,0.000000,0,32
32,0,0.000000,9,32
32,9,0.000000,7,33
33,7,0.000000,9,1
1,9,0.000000,5,0
0,5,0.000000,1,128
128,1,0.000000,2,136
136,2,0.000000,4,104
104,4,0.000000,3,32
32,3,0.000000,2,16
16,2,0.000000,2,64
64,2,0.000000,9,48
48,9,0.000000,2,17
17,2,0.000000,2,17
17,2,0.000000,9,17
17,9,0.000000,7,16
16,7,0.000000,7,16
16,7,0.000000,8,16
16,8,0.000000,7,128
128,7,0.000000,7,112
112,7,0.000000,0,128
128,0,0.000000,0,128
1,1,0.000000,0,9
9,0,1.000000,0,9
9,0,1.000000,1,33
33,1,0.000000,1,1
1,1,0.000000,8,1
1,8,0.000000,4,33
33,4,0.000000,4,33
33,4,0.000000,1,121
121,1,0.000000,7,65
65,7,0.000000,7,65
65,7,1.000000,5,33
33,5,0.000000,7,129
129,7,0.000000,7,129
129,7,0.000000,8,97
97,8,0.000000,5,129
129,5,0.000000,5,129
129,5,0.000000,4,113
113,4,0.000000,4,97
97,4,0.000000,4,97
97,4,0.000000,1,65
65,1,0.000000,0,73
73,0,0.000000,1,65
65,1,0.000000,6,33
33,6,0.000000,0,1
1,0,0.000000,1,33
33,1,0.000000,5,81
81,5,0.000000,4,9
9,4,0.000000,1,33
33,1,0.000000,0,105
105,0,0.000000,3,65
65,3,1.000000,6,33
33,6,1.000000,1,1
1,1,1.000000,4,49
49,4,0.000000,7,81
81,7,0.000000,0,33
33,0,0.000000,9,65
65,9,0.000000,4,128
128,4,0.000000,1,0
0,1,0.000000,1,0
0,1,0.000000,4,64
64,4,0.000000,1,32
32,1,0.000000,1,32
32,1,0.000000,6,64
64,6,0.000000,5,32
32,5,0.000000,5,32
32,5,0.000000,5,80
80,5,0.000000,4,96
96,4,0.000000,4,96
96,4,0.000000,7,96
96,7,0.000000,8,64
64,8,0.000000,8,64
64,8,0.000000,8,128
128,8,0.000000,0,120
120,0,0.000000,3,112
112,3,0.000000,3,112
112,3,0.000000,8,8
8,8,0.000000,8,48
48,8,0.000000,8,48
48,8,0.000000,5,112
112,5,0.000000,5,112
112,5,0.000000,5,120
120,5,0.000000,2,96
96,2,0.000000,2,96
96,2,0.000000,0,96
96,0,0.000000,6,16
16,6,0.000000,6,16
16,6,0.000000,2,0
0,2,0.000000,8,80
80,8,0.000000,8,80
80,8,0.000000,7,16
16,7,0.000000,1,112
112,1,0.000000,1,112
112,1,0.000000,1,136
136,1,0.000000,3,40
40,3,0.000000,8,32
32,8,0.000000,8,32
32,8,0.000000,2,48
48,2,0.000000,8,112
112,8,0.000000,8,112
112,8,0.000000,4,16
16,4,0.000000,2,112
112,2,0.000000,2,112
112,2,0.000000,7,64
64,7,0.000000,1,16
16,1,0.000000,1,16
16,1,0.000000,5,128
128,5,0.000000,2,32
32,2,0.000000,2,32
32,2,0.000000,9,96
96,9,0.000000,6,17
17,6,0.000000,6,17
17,6,0.000000,2,17
17,2,0.000000,1,81
81,1,0.000000,1,81
81,1,0.000000,3,17
17,3,0.000000,4,33
33,4,0.000000,4,33
33,4,0.000000,5,49
49,5,0.000000,3,65
65,3,0.000000,3,65
65,3,0.000000,0,97
97,0,0.000000,3,49
49,3,0.000000,3,49
49,3,0.000000,6,1
1,6,0.000000,1,57
57,1,0.000000,0,49
49,0,0.000000,9,81
81,9,0.000000,7,32
32,7,0.000000,7,0
0,7,0.000000,7,0
0,7,0.000000,0,128
128,0,0.000000,0,128
128,0,0.000000,7,128
128,7,0.000000,0,0
0,0,0.000000,0,0
0,0,0.000000,2,128
128,2,0.000000,6,0
0,6,0.000000,6,0
0,6,0.000000,1,24
24,1,0.000000,2,80
80,2,0.000000,2,80
80,2,0.000000,2,40
40,2,0.000000,3,16
16,3,0.000000,3,16
16,3,0.000000,2,16
16,2,0.000000,1,48
48,1,0.000000,1,48
48,1,0.000000,0,16
16,0,0.000000,0,32
32,0,0.000000,0,32
32,0,0.000000,3,0
0,3,0.000000,3,0
0,3,0.000000,0,8
8,0,0.000000,5,48
48,5,0.000000,5,48
48,5,0.000000,9,0
0,9,0.000000,3,97
97,3,0.000000,3,97
97,3,0.000000,1,105
105,1,0.000000,2,49
49,2,0.000000,2,49
49,2,0.000000,3,33
33,3,0.000000,5,17
17,5,0.000000,1,25
25,1,0.000000,0,57
57,0,0.000000,7,105
105,7,0.000000,8,33
33,8,0.000000,2,1
1,2,0.000000,4,137
137,4,0.000000,7,113
113,7,0.000000,7,17
17,7,0.000000,6,65
65,6,0.000000,8,129
129,8,0.000000,8,129
129,8,0.000000,6,81
81,6,0.000000,9,121
121,9,0.000000,4,120
120,4,0.000000,2,88
88,2,0.000000,6,80
80,6,0.000000,6,72
72,6,0.000000,5,16
16,5,0.000000,9,80
80,9,0.000000,2,89
89,2,0.000000,7,97
97,7,0.000000,7,97
97,7,0.000000,6,17
17,6,0.000000,7,129
129,7,0.000000,7,129
129,7,0.000000,5,81
81,5,0.000000,3,129
129,3,0.000000,3,129
129,3,0.000000,8,97
97,8,0.000000,8,49
49,8,0.000000,8,49
49,8,0.000000,6,113
113,6,0.000000,6,113
113,6,0.000000,1,113
113,1,0.000000,0,81
81,0,0.000000,0,81
81,0,0.000000,6,33
33,6,0.000000,7,1
1,7,0.000000,0,1
1,0,0.000000,3,81
81,3,0.000000,4,129
129,4,0.000000,4,1
1,4,0.000000,5,49
49,5,0.000000,6,73
73,6,0.000000,4,65
65,4,0.000000,5,97
97,5,0.000000,8,81
81,8,0.000000,5,65
65,5,0.000000,1,97
97,1,0.000000,4,121
121,4,0.000000,1,97
97,1,0.000000,1,33
33,1,0.000000,7,65
65,7,0.000000,2,33
33,2,0.000000,2,33
33,2,0.000000,0,137
137,0,0.000000,0,17
17,0,0.000000,0,17
17,0,0.000000,5,1
1,5,0.000000,5,1
1,5,0.000000,8,1
1,8,0.000000,6,97
97,6,0.000000,6,97
97,6,0.000000,8,113
113,8,0.000000,6,81
81,6,0.000000,6,81
81,6,0.000000,6,113
113,6,0.000000,1,81
81,1,0.000000,1,81
81,1,0.000000,2,81
81,2,0.000000,7,33
33,7,1.000000,7,33
33,7,1.000000,2,17
17,2,0.000000,7,129
129,7,0.000000,7,129
129,7,0.000000,1,17
17,1,0.000000,2,129
129,2,0.000000,2,129
129,2,0.000000,5,33
33,5,0.000000,4,17
17,4,0.000000,4,17
17,4,0.000000,2,97
97,2,0.000000,1,65
65,1,0.000000,1,65
65,1,0.000000,9,25
25,9,0.000000,1,32
32,1,0.000000,1,32
32,1,0.000000,9,32
32,9,0.000000,1,33
33,1,0.000000,1,33
33,1,0.000000,3,33
33,3,0.000000,3,33
33,3,0.000000,3,33
33,3,0.000000,3,49
65,4,0.000000,1,49
49,1,0.000000,0,129
129,0,0.000000,2,65
65,2,0.000000,9,33
33,9,0.000000,4,0
0,4,0.000000,4,24
24,4,0.000000,6,16
16,6,0.000000,5,64
64,5,0.000000,5,64
64,5,0.000000,4,80
80,4,0.000000,4,96
96,4,0.000000,4,96
96,4,0.000000,4,72
72,4,0.000000,4,64
64,4,0.000000,4,64
64,4,0.000000,9,64
64,9,0.000000,8,65
65,8,0.000000,3,73
73,3,0.000000,8,65
65,8,0.000000,5,113
113,5,0.000000,6,49
49,6,0.000000,9,113
113,9,0.000000,1,104
104,1,0.000000,1,80
80,1,0.000000,1,80
80,1,0.000000,6,32
32,6,0.000000,4,40
40,4,0.000000,6,32
32,6,0.000000,0,80
80,0,0.000000,3,64
64,3,0.000000,7,80
80,7,0.000000,0,0
0,0,1.000000,4,48
48,4,0.000000,0,128
128,0,0.000000,7,0
0,7,0.000000,4,64
64,4,0.000000,7,0
0,7,0.000000,3,128
128,3,0.000000,6,64
64,6,0.000000,1,128
128,1,0.000000,1,56
56,1,0.000000,6,80
80,6,0.000000,7,40
40,7,0.000000,1,32
32,1,0.000000,0,80
80,0,0.000000,7,128
128,7,0.000000,4,32
32,4,0.000000,3,0
0,3,0.000000,9,128
128,9,0.000000,0,65
65,0,0.000000,4,49
49,4,0.000000,4,49
49,4,0.000000,9,1
1,9,0.000000,9,1
1,9,0.000000,5,65
65,5,0.000000,5,65
65,5,0.000000,4,65
65,4,0.000000,5,97
97,5,0.000000,5,97
97,5,0.000000,9,65
65,9,0.000000,2,96
96,2,0.000000,2,96
96,2,0.000000,6,96
96,6,0.000000,9,24
24,9,0.000000,8,17
17,8,0.000000,5,81
81,5,0.000000,5,81
81,5,0.000000,8,113
113,8,0.000000,4,97
97,4,0.000000,4,97
97,4,0.000000,5,121
121,5,0.000000,5,65
65,5,0.000000,5,65
65,5,0.000000,9,97
97,9,0.000000,1,96
96,1,0.000000,1,96
96,1,0.000000,2,96
96,2,0.000000,1,32
32,1,0.000000,1,32
32,1,0.000000,4,16
16,4,0.000000,3,32
32,3,0.000000,3,32
32,3,0.000000,0,64
64,0,0.000000,7,48
48,7,0.000000,6,56
56,6,0.000000,6,56
56,6,0.000000,3,128
128,3,0.000000,1,80
80,1,0.000000,1,80
80,1,0.000000,5,80
80,5,0.000000,0,48
48,0,0.000000,8,32
32,8,0.000000,8,96
96,8,0.000000,7,104
104,7,0.000000,0,0
0,0,0.000000,6,128
128,6,0.000000,6,128
128,6,0.000000,4,128
128,4,0.000000,5,0
0,5,0.000000,6,80
80,6,0.000000,5,104
104,5,0.000000,5,104
104,5,0.000000,6,80
80,6,0.000000,7,80
80,7,0.000000,5,96
96,5,0.000000,0,88
88,0,0.000000,0,128
128,0,0.000000,7,96
96,7,0.000000,8,0
0,8,0.000000,8,0
0,8,0.000000,7,128
128,7,0.000000,4,112
112,4,0.000000,3,120
120,3,0.000000,7,128
128,7,0.000000,0,72
72,0,0.000000,4,56
56,4,0.000000,6,128
128,6,0.000000,6,128
128,6,0.000000,1,64
64,1,0.000000,1,80
80,1,0.000000,1,80
80,1,0.000000,5,32
32,5,0.000000,5,32
32,5,0.000000,7,32
32,7,0.000000,1,96
96,1,0.000000,1,96
96,1,0.000000,8,128
128,8,0.000000,2,32
32,2,0.000000,2,32
32,2,0.000000,0,112
112,0,0.000000,3,16
16,3,0.000000,3,16
16,3,0.000000,2,0
0,2,0.000000,6,48
48,6,0.000000,6,48
48,6,0.000000,6,24
24,6,0.000000,3,88
88,3,0.000000,3,88
88,3,0.000000,4,80
80,4,0.000000,1,48
48,1,0.000000,1,48
48,1,0.000000,5,64
64,5,0.000000,1,32
32,1,0.000000,1,32
32,1,0.000000,3,96
96,3,0.000000,1,40
40,1,0.000000,1,32
32,1,0.000000,7,48
48,7,0.000000,5,32
32,5,0.000000,5,32
32,5,0.000000,1,128
128,1,0.000000,5,96
96,5,0.000000,5,96
96,5,0.000000,0,32
32,0,0.000000,0,96
96,0,0.000000,0,96
96,0,0.000000,1,0
0,1,0.000000,3,8
8,3,1.000000,1,0
0,1,1.000000,0,40
40,0,1.000000,5,56
56,5,0.000000,6,32
32,6,0.000000,6,0
0,6,0.000000,9,96
96,9,1.000000,7,81
81,7,0.000000,7,81
81,7,1.000000,0,81
81,0,1.000000,9,129
129,9,0.000000,5,128
128,5,0.000000,0,0
0,0,0.000000,0,0
0,0,0.000000,6,96
96,6,0.000000,9,0
0,9,0.000000,0,1
1,0,1.000000,9,81
81,9,1.000000,8,80
68,2,0.000000,5,72
72,5,0.000000,2,16
16,2,0.000000,3,24
24,3,0.000000,4,96
96,4,0.000000,2,24
24,2,0.000000,8,48
48,8,0.000000,4,64
64,4,0.000000,7,16
16,7,0.000000,8,112
112,8,0.000000,2,72
72,2,0.000000,0,136
136,0,0.000000,8,112
112,8,0.000000,8,16
16,8,0.000000,1,0
0,1,0.000000,8,120
120,8,0.000000,3,112
112,3,0.000000,7,32
32,7,0.000000,1,112
112,1,0.000000,9,48
48,9,0.000000,1,129
129,1,0.000000,1,33
33,1,0.000000,1,33
33,1,0.000000,1,33
129,6,0.000000,6,129
129,6,0.000000,7,1
1,7,0.000000,7,81
81,7,0.000000,7,81
81,7,0.000000,7,129
129,7,0.000000,7,129
129,5,0.000000,5,129
129,5,0.000000,8,129
129,8,0.000000,7,97
97,7,0.000000,9,105
105,9,0.000000,3,112
112,3,0.000000,0,128
128,0,0.000000,0,128
128,0,0.000000,2,48
48,2,0.000000,4,0
0,4,0.000000,4,0
0,4,0.000000,9,16
16,9,0.000000,5,73
73,5,0.000000,6,65
65,6,0.000000,6,65
65,6,0.000000,0,97
97,0,0.000000,3,81
81,3,0.000000,3,81
81,3,0.000000,5,1
1,5,0.000000,0,49
49,0,0.000000,0,49
49,0,0.000000,8,97
97,8,0.000000,1,1
1,1,0.000000,1,1
1,1,0.000000,5,113
113,5,0.000000,6,33
33,6,0.000000,6,33
33,6,0.000000,1,97
97,1,0.000000,7,89
89,7,0.000000,1,81
81,1,1.000000,8,33
33,8,1.000000,5,129
129,5,0.000000,8,33
33,8,0.000000,0,113
113,0,0.000000,3,97
97,3,0.000000,2,113
113,2,1.000000,6,1
1,6,1.000000,9,49
49,9,0.000000,2,16
16,2,0.000000,2,80
80,2,0.000000,2,80
80,2,0.000000,7,16
16,7,0.000000,7,16
16,7,0.000000,1,16
16,1,0.000000,2,128
128,2,0.000000,2,128
128,2,0.000000,4,32
32,4,0.000000,0,16
16,0,0.000000,0,16
16,0,0.000000,3,64
64,3,0.000000,6,0
0,6,0.000000,6,0
0,6,0.000000,6,48
48,6,0.000000,6,80
80,6,0.000000,6,80
80,6,0.000000,6,88
88,6,0.000000,6,80
80,6,0.000000,3,80
80,3,0.000000,3,80
19,8,0.000000,2,17
17,2,0.000000,3,65
65,3,0.000000,4,113
113,4,0.000000,5,17
17,5,0.000000,7,49
49,7,0.000000,0,65
65,0,0.000000,4,97
97,4,0.000000,3,129
129,3,0.000000,2,1
1,2,0.000000,4,65
65,4,0.000000,8,49
49,8,0.000000,1,17
17,1,0.000000,7,65
65,7,0.000000,0,113
113,0,0.000000,4,33
33,4,0.000000,4,129
129,4,0.000000,5,1
1,5,0.000000,2,65
65,2,0.000000,2,65
65,2,0.000000,6,97
97,6,0.000000,9,17
17,9,0.000000,7,16
16,7,0.000000,9,80
80,9,0.000000,6,81
81,6,0.000000,7,129
129,7,0.000000,7,129
129,7,0.000000,6,81
81,6,0.000000,6,129
129,6,0.000000,6,129
129,6,0.000000,0,81
81,0,0.000000,0,81
81,0,0.000000,8,81
81,8,0.000000,3,1
1,3,0.000000,3,1
1,3,0.000000,7,121
121,7,0.000000,3,49
49,3,0.000000,3,49
49,3,0.000000,0,129
51,7,0.000000,4,65
65,4,0.000000,7,129
129,7,0.000000,7,129
129,7,0.000000,3,65
65,3,0.000000,1,129
129,1,0.000000,1,129
129,1,0.000000,2,49
49,2,0.000000,5,33
33,5,0.000000,5,33
33,5,0.000000,7,17
17,7,0.000000,5,97
97,5,0.000000,5,97
97,5,0.000000,2,129
129,2,0.000000,1,97
97,1,0.000000,1,97
97,1,0.000000,2,17
17,2,0.000000,1,33
33,1,0.000000,1,33
33,1,0.000000,3,17
17,3,0.000000,2,33
33,2,0.000000,2,33
33,2,0.000000,5,49
49,5,0.000000,6,17
17,6,0.000000,6,17
17,6,0.000000,0,97
97,0,0.000000,0,81
81,0,0.000000,0,81
81,0,0.000000,4,1
1,4,0.000000,4,1
1,4,0.000000,4,1
1,4,0.000000,0,65
65,0,0.000000,0,65
65,0,0.000000,1,65
65,1,0.000000,8,1
1,8,0.000000,8,1
1,8,0.000000,6,33
33,6,0.000000,7,113
113,7,0.000000,7,113
70,0,0.000000,2,16
16,2,0.000000,2,16
16,2,0.000000,5,0
0,5,0.000000,5,16
16,5,0.000000,5,16
16,5,0.000000,5,96
96,5,0.000000,5,96
96,5,1.000000,8,96
96,8,0.000000,8,96
96,8,1.000000,3,96
96,3,1.000000,7,112
112,7,0.000000,7,112
112,7,0.000000,5,48
48,5,0.000000,3,128
128,3,0.000000,3,128
128,3,0.000000,5,96
96,5,0.000000,4,48
96,8,0.000000,2,64
64,2,0.000000,2,64
64,2,0.000000,5,112
96,2,0.000000,5,80
80,5,0.000000,5,80
80,5,0.000000,4,16
16,4,0.000000,9,96
96,9,0.000000,8,97
97,8,1.000000,9,65
65,9,0.000000,7,64
64,7,0.000000,6,112
112,6,0.000000,6,112
112,6,0.000000,4,128
128,4,0.000000,0,80
80,0,0.000000,7,88
88,7,0.000000,8,64
64,8,0.000000,1,8
8,1,0.000000,5,136
136,5,0.000000,9,112
112,9,0.000000,7,33
33,7,0.000000,2,97
97,2,0.000000,2,97
97,2,0.000000,3,129
129,3,0.000000,0,17
17,0,0.000000,0,17
17,0,0.000000,1,49
49,1,0.000000,9,9
9,9,0.000000,0,0
0,0,0.000000,9,32
32,9,0.000000,8,41
41,8,0.000000,1,1
1,1,0.000000,1,1
1,1,0.000000,3,113
113,3,0.000000,1,33
33,1,0.000000,1,33
33,1,0.000000,7,49
49,7,0.000000,9,33
33,9,0.000000,0,32
32,0,0.000000,7,128
128,7,0.000000,7,128
128,7,0.000000,9,8
8,9,0.000000,8,129
129,8,0.000000,8,129
129,8,0.000000,4,129
129,4,0.000000,5,113
113,5,0.000000,5,113
113,5,0.000000,4,73
73,4,0.000000,4,105
105,4,0.000000,7,97
97,7,0.000000,8,65
65,8,0.000000,8,65
65,8,0.000000,7,129
129,7,0.000000,1,113
113,1,0.000000,1,113
113,1,0.000000,7,129
129,7,0.000000,1,33
33,1,0.000000,1,33
33,1,0.000000,8,129
129,8,0.000000,5,33
33,5,0.000000,5,33
121,3,0.000000,5,97
97,5,0.000000,5,97
97,5,0.000000,6,49
49,6,0.000000,9,97
97,9,0.000000,0,96
96,0,0.000000,6,80
80,6,0.000000,6,80
80,6,0.000000,7,0
0,7,0.000000,7,80
80,7,0.000000,7,80
80,7,0.000000,7,136
136,7,0.000000,9,128
128,9,0.000000,6,129
129,6,0.000000,6,129
129,6,0.000000,5,129
129,5,0.000000,2,81
81,2,0.000000,2,81
81,2,0.000000,5,97
97,5,0.000000,2,17
17,2,0.000000,2,17
17,2,0.000000,4,97
97,4,0.000000,5,17
17,5,0.000000,5,17
17,5,0.000000,0,65
65,0,0.000000,3,97
97,3,1.000000,3,97
97,3,1.000000,9,1
1,9,1.000000,0,48
48,0,0.000000,0,48
48,0,0.000000,3,48
48,3,0.000000,3,0
0,3,0.000000,3,0
0,3,0.000000,1,48
48,1,0.000000,1,48
48,1,0.000000,0,48
48,0,0.000000,3,32
32,3,0.000000,3,32
32,3,0.000000,2,0
0,2,0.000000,5,48
48,5,0.000000,5,48
48,5,0.000000,3,16
16,3,0.000000,9,104
104,9,0.000000,8,97
97,8,0.000000,0,49
49,0,0.000000,0,49
49,0,0.000000,6,113
113,6,0.000000,7,1
1,7,0.000000,8,9
9,8,0.000000,6,81
81,6,0.000000,6,129
129,6,0.000000,9,113
113,9,0.000000,6,80
80,6,0.000000,6,80
80,6,0.000000,4,80
80,4,0.000000,8,88
88,8,0.000000,4,80
80,4,0.000000,9,64
64,9,0.000000,8,113
113,8,0.000000,7,65
65,7,0.000000,7,65
65,7,0.000000,4,113
113,4,0.000000,1,129
129,1,0.000000,1,129
129,1,0.000000,4,65
65,4,0.000000,3,33
33,3,0.000000,0,33
33,0,0.000000,5,65
65,5,0.000000,4,49
49,4,0.000000,2,1
1,2,0.000000,1,97
97,1,0.000000,6,65
65,6,0.000000,3,17
17,3,0.000000,3,33
33,3,0.000000,1,81
81,1,0.000000,2,49
49,2,0.000000,2,49
49,2,0.000000,8,33
33,8,0.000000,1,17
